iter	RMSE
0	14.63603299
1	14.28904998
2	13.93970448
3	13.64670938
4	13.34709616
5	13.09956751
6	12.83073724
7	12.59701842
8	12.3511908
9	12.05776427
10	11.80233739
11	11.54156521
12	11.29702635
13	11.06493814
14	10.8265134
15	10.63839492
16	10.44960084
17	10.26758966
18	10.07590992
19	9.88233303
20	9.692402382
21	9.512386809
22	9.350496312
23	9.188460395
24	9.035993968
25	8.889672634
26	8.752969337
27	8.618838628
28	8.485455997
29	8.364986276
30	8.255860999
31	8.140136647
32	8.030940527
33	7.91414112
34	7.809490633
35	7.706180355
36	7.612243349
37	7.521570639
38	7.432174201
39	7.358217136
40	7.283637673
41	7.218937305
42	7.142060044
43	7.079033678
44	7.007752177
45	6.953171164
46	6.896921162
47	6.837385045
48	6.783319155
49	6.732117527
50	6.680907479
51	6.626428981
52	6.570403033
53	6.517071337
54	6.472100785
55	6.423729006
56	6.383894604
57	6.33919297
58	6.2975637
59	6.258302292
60	6.215856217
61	6.180752501
62	6.153854363
63	6.127399914
64	6.094373284
65	6.058024194
66	6.027378882
67	5.994569961
68	5.970991082
69	5.942467243
70	5.917568342
71	5.892941645
72	5.870138387
73	5.847607803
74	5.821231123
75	5.800449292
76	5.776276276
77	5.75735852
78	5.747158681
79	5.725772177
80	5.708738339
81	5.685713283
82	5.672740585
83	5.653268189
84	5.636986531
85	5.620811116
86	5.602518257
87	5.588948017
88	5.573283104
89	5.55896492
90	5.541949343
91	5.531892462
92	5.518498025
93	5.503299771
94	5.491779022
95	5.479660222
96	5.46767828
97	5.456969406
98	5.448812848
99	5.432882814
100	5.424920841
101	5.41338525
102	5.405527372
103	5.393222251
104	5.385077873
105	5.375164046
106	5.366515518
107	5.354987306
108	5.344566789
109	5.335944613
110	5.324767925
111	5.317181071
112	5.311461474
113	5.306430303
114	5.300365125
115	5.292128443
116	5.284512647
117	5.280506329
118	5.272294756
119	5.259955351
120	5.253587704
121	5.247516381
122	5.242662705
123	5.233158898
124	5.223543989
125	5.214595849
126	5.208373325
127	5.200534867
128	5.19396441
129	5.18734439
130	5.182113416
131	5.178840816
132	5.170578062
133	5.167224401
134	5.162310568
135	5.154497966
136	5.149421859
137	5.144446806
138	5.13986869
139	5.135290761
140	5.128321259
141	5.123466308
142	5.122810535
143	5.116176659
144	5.112473622
145	5.103981729
146	5.097407625
147	5.090355585
148	5.086364337
149	5.082033065
150	5.079576233
151	5.076323714
152	5.071159536
153	5.064835425
154	5.061441875
155	5.057338923
156	5.051129324
157	5.046960863
158	5.04388232
159	5.036582471
160	5.029215867
161	5.02769694
162	5.022497315
163	5.018540175
164	5.012897114
165	5.007168623
166	4.999975058
167	4.995379578
168	4.99232866
169	4.989239468
170	4.984125573
171	4.981104319
172	4.975596403
173	4.972155746
174	4.968532628
175	4.966879947
176	4.961975052
177	4.95617661
178	4.953063776
179	4.945166938
180	4.93914421
181	4.936788465
182	4.932299711
183	4.926957337
184	4.921997711
185	4.917802292
186	4.914371848
187	4.91010715
188	4.908264157
189	4.899814347
190	4.897212098
191	4.893958727
192	4.886253241
193	4.879566458
194	4.87691726
195	4.873678705
196	4.867884992
197	4.866584422
198	4.858911281
199	4.857361945
200	4.853761966
201	4.851271412
202	4.846017613
203	4.84366692
204	4.839231046
205	4.834165539
206	4.830662341
207	4.827469601
208	4.823671404
209	4.819280672
210	4.816439772
211	4.812484822
212	4.809208542
213	4.806980685
214	4.804178461
215	4.800235664
216	4.796043988
217	4.794710535
218	4.792196909
219	4.785416664
220	4.781563304
221	4.780064028
222	4.77618451
223	4.771968633
224	4.768222874
225	4.762890272
226	4.759179952
227	4.755833668
228	4.753576758
229	4.749975108
230	4.74742223
231	4.744605365
232	4.741410208
233	4.734808535
234	4.733173513
235	4.729902062
236	4.726066853
237	4.72282955
238	4.721457775
239	4.718731672
240	4.717544991
241	4.713861547
242	4.712627416
243	4.711269771
244	4.71021324
245	4.708010526
246	4.707024209
247	4.705204859
248	4.702515722
249	4.700145527
250	4.695069587
251	4.68843256
252	4.686020058
253	4.683869942
254	4.682011802
255	4.675816816
256	4.675129757
257	4.673039201
258	4.669190813
259	4.667637412
260	4.664900613
261	4.658720953
262	4.657761316
263	4.656777232
264	4.651979455
265	4.644550319
266	4.639098993
267	4.634309211
268	4.632086665
269	4.623621861
270	4.620794374
271	4.620095461
272	4.614498373
273	4.610310441
274	4.606262089
275	4.605251779
276	4.598678455
277	4.593676891
278	4.587426828
279	4.586490752
280	4.578656242
281	4.570908621
282	4.567762851
283	4.562281112
284	4.556457743
285	4.55489533
286	4.549356234
287	4.545064555
288	4.540360826
289	4.538816276
290	4.536489237
291	4.529064409
292	4.527338676
293	4.522159477
294	4.517931322
295	4.51295594
296	4.509176776
297	4.504227157
298	4.503403733
299	4.501948188
300	4.497474438
301	4.491487534
302	4.489577766
303	4.484696934
304	4.482818969
305	4.479145824
306	4.475982256
307	4.475184139
308	4.473631116
309	4.467180589
310	4.466294958
311	4.46144729
312	4.457728124
313	4.456592988
314	4.453547086
315	4.452786186
316	4.45078276
317	4.448517004
318	4.443826957
319	4.436705284
320	4.434982012
321	4.430343484
322	4.42935373
323	4.424092303
324	4.422027944
325	4.417701881
326	4.415602116
327	4.412980045
328	4.406597236
329	4.402767052
330	4.397988406
331	4.396803247
332	4.395569768
333	4.391677752
334	4.388994982
335	4.386621175
336	4.385039795
337	4.380057581
338	4.374950353
339	4.373223057
340	4.372199948
341	4.370205644
342	4.36545795
343	4.36386002
344	4.357045735
345	4.355793445
346	4.352736524
347	4.352055601
348	4.348205237
349	4.344911649
350	4.340307115
351	4.333472655
352	4.331319067
353	4.326815204
354	4.320321553
355	4.318613172
356	4.316040946
357	4.314974971
358	4.311604404
359	4.306464046
360	4.305671981
361	4.300406135
362	4.295457676
363	4.294778646
364	4.293455889
365	4.292194386
366	4.291112745
367	4.285131167
368	4.284325841
369	4.279162425
370	4.277201522
371	4.276036491
372	4.271119467
373	4.270488585
374	4.268386521
375	4.263722344
376	4.263349062
377	4.259268914
378	4.257247308
379	4.254536733
380	4.248899602
381	4.248354203
382	4.243738869
383	4.242636737
384	4.242318799
385	4.237547531
386	4.235442276
387	4.23115159
388	4.224113275
389	4.220083762
390	4.21391927
391	4.209688585
392	4.208768956
393	4.20791701
394	4.203385403
395	4.200825364
396	4.199640753
397	4.196728226
398	4.194777416
399	4.191007572
400	4.190446292
401	4.189576036
402	4.183834607
403	4.180940842
404	4.179017323
405	4.177128947
406	4.17344933
407	4.169164511
408	4.164541561
409	4.159403788
410	4.156740257
411	4.155071272
412	4.151799156
413	4.147624598
414	4.145099912
415	4.14441763
416	4.141863626
417	4.138007167
418	4.137119877
419	4.131666065
420	4.130590764
421	4.126748016
422	4.121922443
423	4.121066633
424	4.120551113
425	4.117424893
426	4.116528095
427	4.111202195
428	4.110626162
429	4.106506086
430	4.103977816
431	4.10349925
432	4.102977664
433	4.09776198
434	4.093375539
435	4.092698458
436	4.09038692
437	4.088084162
438	4.085847163
439	4.083126111
440	4.078515447
441	4.075903031
442	4.072302221
443	4.071370062
444	4.067999527
445	4.067018738
446	4.066234314
447	4.06306488
448	4.060688399
449	4.056674845
450	4.052367985
451	4.047561638
452	4.04529661
453	4.041555152
454	4.036928469
455	4.033970538
456	4.031338726
457	4.030333189
458	4.026122938
459	4.023698913
460	4.023022828
