iter	Passed	Remaining
0	1	184
1	3	161
2	4	149
3	5	137
4	7	135
5	8	131
6	9	126
7	10	124
8	12	124
9	13	122
10	14	120
11	16	118
12	17	116
13	18	115
14	20	114
15	21	115
16	23	113
17	24	113
18	26	112
19	28	112
20	29	111
21	31	110
22	32	109
23	34	108
24	35	106
25	37	105
26	38	103
27	39	101
28	40	99
29	42	98
30	43	96
31	44	94
32	45	92
33	46	91
34	48	89
35	49	87
36	50	86
37	51	84
38	53	83
39	54	82
40	56	80
41	57	79
42	58	78
43	60	76
44	62	75
45	63	74
46	64	72
47	66	71
48	67	70
49	68	68
50	70	67
51	71	65
52	72	64
53	73	62
54	75	61
55	76	60
56	78	59
57	79	57
58	81	56
59	82	55
60	83	53
61	85	52
62	86	51
63	88	49
64	89	48
65	90	46
66	91	45
67	92	43
68	94	42
69	95	40
70	96	39
71	98	38
72	99	36
73	100	35
74	102	34
75	103	32
76	104	31
77	105	29
78	107	28
79	108	27
80	110	25
81	111	24
82	113	23
83	115	21
84	116	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	136	0
